метод,описание_метода,стандартизированный_разрыв_good_vs_bad,общее_время_обработки_сек,time_prof_01_sec,time_prof_02_sec,time_prof_03_sec,time_prof_04_sec,time_bad_01_sec,time_bad_02_sec,time_self_01_sec,time_self_02_sec,time_self_03_sec,плюсы,минусы
charisma_master_baseline,"Текущий baseline Charisma Master на основе среднего движения рук, масштабированного в score",,,,,,,,,,,,
llm_simple_normalized,"Простой нормализованный метод на основе движения рук, амплитуды и доли активной жестикуляции",,,,,,,,,,,,
llm_cpu_structured,"Более сложный CPU-friendly метод на основе сегментации эпизодов, ритма и вариативности жестов",,,,,,,,,,,,
