video_id,имя_файла,группа,категория_дистанции,метод,raw_metric,score,frames_processed,frames_with_pose,movement_accum,processing_time_sec,activity_ratio,amplitude_mean,pointing_ratio,episode_count,episode_duration_mean,rhythm_score
prof_01,time_prof_1.mp4,good_professional,,charisma_master_baseline,0.06389232734729507,100.0,18903.0,3693.0,235.95436489356067,97.20880362499156,,,,,,
prof_01,time_prof_1.mp4,good_professional,,llm_simple_normalized,3.165147775714615,94.95443327143845,,,,96.53262058300606,0.7895449620801733,1.9269998961345272,0.02761982128350934,,,
prof_01,time_prof_1.mp4,good_professional,,llm_cpu_structured,3.1326218770345577,87.71341255696761,,,,96.70193079099408,,,,151.0,4.35364238410596,0.5815327084360794
prof_02,time_proff_2.mp4,good_professional,,charisma_master_baseline,0.016419264382083246,57.46742533729136,16264.0,3109.0,51.047492963896815,114.87336974999926,,,,,,
prof_02,time_proff_2.mp4,good_professional,,llm_simple_normalized,1.9157572273132477,57.472716819397434,,,,114.19772216699494,0.35006435006435005,1.3957182030259,0.08427146992602123,,,
prof_02,time_proff_2.mp4,good_professional,,llm_cpu_structured,1.7883103538788718,50.07268990860841,,,,111.04618645898881,,,,198.0,1.158249158249158,0.5479833587473898
prof_03,time_proff_3.mp4,good_professional,,charisma_master_baseline,0.040894517245378965,100.0,9433.0,1885.0,77.08616500753935,56.78180641599465,,,,,,
prof_03,time_proff_3.mp4,good_professional,,llm_simple_normalized,2.462352285919683,73.87056857759049,,,,61.16810049999913,0.589171974522293,1.4639396106127098,0.24084880636604775,,,
prof_03,time_proff_3.mp4,good_professional,,llm_cpu_structured,2.6372784780925222,73.84379738659062,,,,64.04882512500626,,,,150.0,1.5022222222222221,0.646598674038357
prof_04,time_proff_4.mp4,good_professional,,charisma_master_baseline,0.050535276400239255,100.0,25457.0,5091.0,257.27509215361806,135.31849899998633,,,,,,
prof_04,time_proff_4.mp4,good_professional,,llm_simple_normalized,2.8272334700441184,84.81700410132355,,,,136.42780566599686,0.6774066797642436,1.7799114480828977,0.01708898055391868,,,
prof_04,time_proff_4.mp4,good_professional,,llm_cpu_structured,2.325234187332879,65.10655724532062,,,,144.60524437500862,,,,240.0,2.7194444444444446,0.5742443720191407
bad_01,time_bad_1.mp4,bad,,charisma_master_baseline,0.006290237852200278,22.015832482700972,2250.0,449.0,2.824316795637925,12.749336832988774,,,,,,
bad_01,time_bad_1.mp4,bad,,llm_simple_normalized,2.324904640459833,69.74713921379498,,,,12.700323375000153,0.033482142857142856,2.5162630925744174,0.0,,,
bad_01,time_bad_1.mp4,bad,,llm_cpu_structured,2.1340298127083153,59.75283475583283,,,,12.729460250004195,,,,13.0,0.3717948717948717,0.3702702386013611
bad_02,time_bad_2.mp4,bad,,charisma_master_baseline,0.027997081158240185,97.98978405384065,9874.0,1974.0,55.266238206366125,63.35946600000898,,,,,,
bad_02,time_bad_2.mp4,bad,,llm_simple_normalized,2.4604259459025286,73.81277837707586,,,,59.060693250008626,0.35428281804358847,2.0177547608573194,0.019250253292806486,,,
bad_02,time_bad_2.mp4,bad,,llm_cpu_structured,2.5639950382000385,71.79186106960108,,,,63.91099958300765,,,,135.0,1.1444444444444444,0.5797446686455553
self_01,self_near_take.mp4,self_recorded,near,charisma_master_baseline,0.014166131693403129,49.58146092691095,11724.0,2344.0,33.20541268933693,151.64557962499384,,,,,,
self_01,self_near_take.mp4,self_recorded,near,llm_simple_normalized,0.8220841241469623,24.66252372440887,,,,149.60952062500292,0.18864703371745625,0.5356350124856788,0.001279863481228669,,,
self_01,self_near_take.mp4,self_recorded,near,llm_cpu_structured,1.0745925183502734,30.088590513807652,,,,151.66191737500776,,,,114.0,0.4254603673362511,0.5576699328007777
self_02,self_mid_take.mp4,self_recorded,mid,charisma_master_baseline,0.010706938860894877,37.47428601313207,12224.0,2444.0,26.16775857602708,151.09235412500857,,,,,,
self_02,self_mid_take.mp4,self_recorded,mid,llm_simple_normalized,0.8935219879808638,26.805659639425915,,,,152.17134525001165,0.23209169054441262,0.505705570822991,0.058919803600654665,,,
self_02,self_mid_take.mp4,self_recorded,mid,llm_cpu_structured,1.203913500607881,33.70957801702067,,,,123.33478799999284,,,,135.0,0.4552506883382183,0.5346428062821019
self_03,self_far_take.mp4,self_recorded,far,charisma_master_baseline,0.008549513305090291,29.92329656781602,16504.0,3300.0,28.21339390679796,172.75261808300274,,,,,,
self_03,self_far_take.mp4,self_recorded,far,llm_simple_normalized,1.064138787966615,31.924163638998454,,,,173.49183079099748,0.297362837223401,0.5822298812063395,0.013939393939393939,,,
self_03,self_far_take.mp4,self_recorded,far,llm_cpu_structured,1.4909058470374175,41.74536371704769,,,,180.05702941599884,,,,157.0,0.6340842256484484,0.5629952608346978
